ts_l_ns,ts_r_ns,delta_ms
7902342986000,7902361794000,18.808
7902378686000,7902397493000,18.807
7902414385000,7902433193000,18.808
7902450085000,7902468893000,18.808
7902485785000,7902504592000,18.807
7902521485000,7902540292000,18.807
7902557185000,7902575991000,18.806
7902592885000,7902611691000,18.806
7902628584000,7902647391000,18.807
7902664284000,7902683090000,18.806
7902699984000,7902718790000,18.806
7902735683000,7902754489000,18.806
7902771383000,7902790189000,18.806
7902807083000,7902825889000,18.806
7902842783000,7902861588000,18.805
7902878483000,7902897288000,18.805
7902914182000,7902932987000,18.805
7902949882000,7902968687000,18.805
7902985582000,7903004386000,18.804
7903021281000,7903040086000,18.805
7903056981000,7903075786000,18.805
7903092681000,7903111485000,18.804
7903128381000,7903147185000,18.804
7903164081000,7903182884000,18.803
7903199781000,7903218584000,18.803
7903235480000,7903254284000,18.804
7903271180000,7903289983000,18.803
7903306880000,7903325683000,18.803
7903342580000,7903361383000,18.803
7903378279000,7903397082000,18.803
7903413979000,7903432782000,18.803
7903449679000,7903468481000,18.802
7903485379000,7903504181000,18.802
7903521079000,7903539880000,18.801
7903556778000,7903575580000,18.802
7903592478000,7903611280000,18.802
7903628178000,7903646979000,18.801
7903663878000,7903682679000,18.801
7903699578000,7903718380000,18.802
7903735277000,7903754078000,18.801
7903770977000,7903789778000,18.801
7903806677000,7903825477000,18.8
7903842377000,7903861177000,18.8
7903878076000,7903896876000,18.8
7903913776000,7903932576000,18.8
7903949476000,7903968275000,18.799
7903985176000,7904003975000,18.799
7904020876000,7904039675000,18.799
7904056575000,7904075374000,18.799
7904092275000,7904111074000,18.799
7904127975000,7904146774000,18.799
7904163675000,7904182473000,18.798
7904199375000,7904218173000,18.798
7904235074000,7904253872000,18.798
7904270774000,7904289572000,18.798
7904306474000,7904325271000,18.797
7904342174000,7904360971000,18.797
7904377873000,7904396671000,18.798
7904413573000,7904432370000,18.797
7904449273000,7904468070000,18.797
7904484973000,7904503769000,18.796
7904520673000,7904539469000,18.796
7904556372000,7904575169000,18.797
7904592072000,7904610868000,18.796
7904627772000,7904646568000,18.796
7904663472000,7904682267000,18.795
7904699172000,7904717967000,18.795
7904734871000,7904753667000,18.796
7904770571000,7904789366000,18.795
7904806271000,7904825066000,18.795
7904841971000,7904860765000,18.794
7904877670000,7904896465000,18.795
7904913370000,7904932165000,18.795
7904949070000,7904967864000,18.794
7904984770000,7905003564000,18.794
7905020470000,7905039263000,18.793
7905056170000,7905074963000,18.793
7905091869000,7905110663000,18.794
7905127569000,7905146362000,18.793
7905163268000,7905182062000,18.794
7905198968000,7905217761000,18.793
7905234668000,7905253461000,18.793
7905270368000,7905289161000,18.793
7905306068000,7905324860000,18.792
7905341767000,7905360560000,18.793
7905377467000,7905396259000,18.792
7905413167000,7905431959000,18.792
7905448867000,7905467658000,18.791
7905484567000,7905503358000,18.791
7905520266000,7905539058000,18.792
7905555966000,7905574757000,18.791
7905591666000,7905610457000,18.791
7905627366000,7905646156000,18.79
7905663066000,7905681856000,18.79
7905698766000,7905717556000,18.79
7905734465000,7905753255000,18.79
7905770165000,7905788955000,18.79
7905805865000,7905824655000,18.79
7905841565000,7905860354000,18.789
7905877264000,7905896054000,18.79
7905912964000,7905931753000,18.789
7905948664000,7905967453000,18.789
7905984364000,7906003152000,18.788
7906020063000,7906038852000,18.789
7906055763000,7906074552000,18.789
7906091463000,7906110251000,18.788
7906127162000,7906145951000,18.789
7906162862000,7906181650000,18.788
7906198562000,7906217350000,18.788
7906234262000,7906253050000,18.788
7906269962000,7906288749000,18.787
7906305662000,7906324449000,18.787
7906341362000,7906360149000,18.787
7906377061000,7906395848000,18.787
7906412761000,7906431548000,18.787
7906448461000,7906467247000,18.786
7906484163000,7906502947000,18.784
7906519861000,7906538646000,18.785
7906555560000,7906574347000,18.787
7906591260000,7906610046000,18.786
7906626960000,7906645745000,18.785
7906662660000,7906681445000,18.785
7906698359000,7906717145000,18.786
7906734059000,7906752844000,18.785
7906769759000,7906788544000,18.785
7906805459000,7906824244000,18.785
7906841159000,7906859943000,18.784
7906876858000,7906895642000,18.784
7906912558000,7906931343000,18.785
7906948258000,7906967042000,18.784
7906983958000,7907002741000,18.783
7907019657000,7907038441000,18.784
7907055357000,7907074140000,18.783
7907091057000,7907109840000,18.783
7907126757000,7907145540000,18.783
7907162457000,7907181239000,18.782
7907198156000,7907216939000,18.783
7907233856000,7907252638000,18.782
7907269556000,7907288338000,18.782
7907305256000,7907324038000,18.782
7907340955000,7907359737000,18.782
7907376655000,7907395437000,18.782
7907412355000,7907431136000,18.781
7907448055000,7907466836000,18.781
7907483755000,7907502535000,18.78
7907519454000,7907538235000,18.781
7907555154000,7907573935000,18.781
7907590854000,7907609634000,18.78
7907626554000,7907645334000,18.78
7907662253000,7907681033000,18.78
7907697953000,7907716733000,18.78
7907733653000,7907752433000,18.78
7907769353000,7907788133000,18.78
7907805053000,7907823832000,18.779
7907840752000,7907859532000,18.78
7907876452000,7907895231000,18.779
7907912152000,7907930931000,18.779
7907947852000,7907966630000,18.778
7907983551000,7908002330000,18.779
7908019252000,7908038029000,18.777
7908054951000,7908073729000,18.778
7908090652000,7908109429000,18.777
7908126351000,7908145128000,18.777
7908162050000,7908180828000,18.778
7908197750000,7908216527000,18.777
7908233450000,7908252227000,18.777
7908269150000,7908287926000,18.776
7908304850000,7908323626000,18.776
7908340550000,7908359326000,18.776
7908376250000,7908395025000,18.775
7908411949000,7908430725000,18.776
7908447649000,7908466424000,18.775
7908483348000,7908502124000,18.776
7908519048000,7908537824000,18.776
7908554748000,7908573523000,18.775
7908590448000,7908609223000,18.775
7908626147000,7908644923000,18.776
7908661847000,7908680622000,18.775
7908697547000,7908716322000,18.775
7908733247000,7908752022000,18.775
7908768947000,7908787721000,18.774
7908804647000,7908823421000,18.774
7908840346000,7908859120000,18.774
7908876046000,7908894820000,18.774
7908911746000,7908930520000,18.774
7908947446000,7908966219000,18.773
7908983145000,7909001919000,18.774
7909018845000,7909037618000,18.773
7909054545000,7909073318000,18.773
7909090245000,7909109017000,18.772
7909125945000,7909144717000,18.772
7909161645000,7909180417000,18.772
7909197344000,7909216116000,18.772
7909233044000,7909251816000,18.772
7909268744000,7909287515000,18.771
7909304444000,7909323215000,18.771
7909340144000,7909358915000,18.771
7909375843000,7909394614000,18.771
7909411543000,7909430314000,18.771
7909447243000,7909466013000,18.77
7909482942000,7909501713000,18.771
7909518642000,7909537412000,18.77
7909554342000,7909573112000,18.77
7909590042000,7909608812000,18.77
7909625742000,7909644511000,18.769
7909661442000,7909680211000,18.769
7909697141000,7909715911000,18.77
7909732841000,7909751610000,18.769
7909768541000,7909787310000,18.769
7909804241000,7909823009000,18.768
7909839940000,7909858709000,18.769
7909875640000,7909894409000,18.769
7909911340000,7909930108000,18.768
7909947040000,7909965808000,18.768
7909982739000,7910001507000,18.768
7910018439000,7910037207000,18.768
7910054139000,7910072907000,18.768
7910089839000,7910108606000,18.767
7910125539000,7910144306000,18.767
7910161238000,7910180005000,18.767
7910196938000,7910215705000,18.767
7910232638000,7910251404000,18.766
7910268338000,7910287104000,18.766
7910304039000,7910322804000,18.765
7910339737000,7910358503000,18.766
7910375437000,7910394203000,18.766
7910411137000,7910429903000,18.766
7910446837000,7910465602000,18.765
7910482536000,7910501302000,18.766
7910518236000,7910537002000,18.766
7910553936000,7910572701000,18.765
7910589636000,7910608401000,18.765
7910625336000,7910644100000,18.764
7910661036000,7910679800000,18.764
