frame,cap,rect,detect,depth,det,mode,track,n_tracks,n_dets,total,fps
2325,14,5,16,0,N,none,0,0,0,34,29.1
2326,14,5,16,0,N,none,0,0,0,35,28.8
2327,15,5,18,0,N,none,0,0,0,38,26.4
2328,12,5,16,0,N,none,0,0,0,33,29.9
2329,14,5,16,0,N,none,0,0,0,35,28.4
2330,14,5,16,0,N,none,0,0,0,34,29.1
2331,15,5,16,0,N,none,0,0,0,36,27.6
2332,15,5,16,0,N,none,0,0,0,36,28.0
2333,14,5,16,0,N,none,0,0,0,35,29.0
2334,14,5,16,0,N,none,0,0,0,35,28.5
2335,15,5,16,0,N,none,0,0,0,36,28.1
2336,14,5,16,0,N,none,0,0,0,35,28.6
2337,16,5,17,0,N,none,0,0,0,38,26.6
2338,12,5,16,0,N,none,0,0,0,33,30.3
2339,14,5,16,0,N,none,0,0,0,35,28.4
2340,14,5,16,0,N,none,0,0,0,35,28.4
2341,14,5,16,0,N,none,0,0,0,35,28.4
2342,14,5,16,0,N,none,0,0,0,36,28.0
2343,14,5,16,0,N,none,0,0,0,35,28.2
2344,14,5,16,0,N,none,0,0,0,34,29.2
2345,14,5,16,0,N,none,0,0,0,35,28.9
2346,14,5,16,0,N,none,0,0,0,34,29.1
2347,15,5,16,0,N,none,0,0,0,35,28.7
2348,15,5,16,0,N,none,0,0,0,35,28.3
2349,15,5,16,0,N,none,0,0,0,36,27.7
2350,15,5,16,0,N,none,0,0,0,36,28.1
2351,14,5,16,0,N,none,0,0,0,35,28.9
2352,15,5,16,0,N,none,0,0,0,36,27.6
2353,13,5,16,0,N,none,0,0,0,34,29.2
2354,14,5,16,0,N,none,0,0,0,35,28.2
2355,14,5,16,0,N,none,0,0,0,35,28.3
2356,14,5,16,0,N,none,0,0,0,35,28.6
2357,14,5,17,0,N,none,0,0,0,36,28.1
2358,14,5,16,0,N,none,0,0,0,34,29.0
2359,14,5,16,0,N,none,0,0,0,36,28.0
2360,14,5,16,0,N,none,0,0,0,35,28.8
2361,15,5,16,0,N,none,0,0,0,36,28.1
2362,14,5,16,0,N,none,0,0,0,35,28.3
2363,14,5,16,0,N,none,0,0,0,35,28.5
2364,14,5,16,0,N,none,0,0,0,35,28.6
2365,14,5,16,0,N,none,0,0,0,36,28.1
2366,14,5,16,0,N,none,0,0,0,35,28.4
2367,14,5,16,0,N,none,0,0,0,35,28.8
2368,15,5,16,0,N,none,0,0,0,36,28.2
2369,10,5,16,0,N,none,0,0,0,30,32.9
2370,15,5,16,0,N,none,0,0,0,36,27.6
2371,14,5,16,0,N,none,0,0,0,34,29.1
2372,16,5,17,0,N,none,0,0,0,38,26.4
2373,13,6,16,0,N,none,0,0,0,35,28.8
2374,13,5,16,0,N,none,0,0,0,34,29.3
2375,14,5,16,0,N,none,0,0,0,34,29.3
2376,15,6,16,0,N,none,0,0,0,36,27.5
2377,14,4,16,0,N,none,0,0,0,34,29.2
2378,15,5,16,0,N,none,0,0,0,36,27.9
2379,15,6,16,0,N,none,0,0,0,37,27.1
2380,12,6,16,0,N,none,0,0,0,34,29.2
2381,13,5,16,0,N,none,0,0,0,34,29.0
2382,15,5,16,0,N,none,0,0,0,36,28.2
2383,14,5,16,0,N,none,0,0,0,35,28.7
2384,14,5,16,0,N,none,0,0,0,36,27.9
2385,14,6,17,0,N,none,0,0,0,37,27.1
2386,12,6,18,0,N,none,0,0,0,36,27.7
2387,12,5,17,0,N,none,0,0,0,34,29.5
2388,13,6,17,0,N,none,0,0,0,36,28.1
2389,12,6,16,0,N,none,0,0,0,34,29.0
2390,13,6,16,0,N,none,0,0,0,35,28.4
2391,13,6,16,0,N,none,0,0,0,35,28.4
2392,14,6,16,0,N,none,0,0,0,36,27.9
2393,13,4,16,0,N,none,0,0,0,33,30.0
2394,15,5,16,0,N,none,0,0,0,36,27.8
2395,13,5,16,0,N,none,0,0,0,35,28.8
2396,14,5,16,0,N,none,0,0,0,35,28.3
2397,14,5,17,0,N,none,0,0,0,36,27.9
2398,13,5,16,0,N,none,0,0,0,34,29.2
2399,14,5,16,0,N,none,0,0,0,36,28.0
2400,14,5,16,0,N,none,0,0,0,35,28.7
2401,15,5,16,0,N,none,0,0,0,36,28.1
2402,13,5,16,0,N,none,0,0,0,34,29.5
2403,14,5,16,0,N,none,0,0,0,35,28.9
2404,15,5,16,0,N,none,0,0,0,35,28.7
2405,15,5,16,0,N,none,0,0,0,36,27.8
2406,14,5,17,0,N,none,0,0,0,36,27.7
2407,14,5,16,0,N,none,0,0,0,35,28.8
2408,14,5,17,0,N,none,0,0,0,36,28.1
2409,13,5,16,0,N,none,0,0,0,35,28.7
2410,14,5,17,0,N,none,0,0,0,35,28.4
2411,14,5,16,0,N,none,0,0,0,34,29.0
2412,15,5,16,0,N,none,0,0,0,36,27.9
2413,14,5,16,0,N,none,0,0,0,35,28.8
2414,15,5,27,0,N,none,0,0,0,47,21.1
2415,4,5,17,0,N,none,0,0,0,25,39.3
2416,11,5,16,0,N,none,0,0,0,32,30.8
2417,14,5,16,0,N,none,0,0,0,35,28.9
2418,14,5,16,0,N,none,0,0,0,35,28.6
2419,14,5,16,0,N,none,0,0,0,36,28.1
2420,14,5,16,0,N,none,0,0,0,35,28.3
2421,14,5,16,0,N,none,0,0,0,35,28.3
2422,14,5,16,0,N,none,0,0,0,35,28.3
2423,14,5,16,0,N,none,0,0,0,35,28.8
2424,14,5,16,0,N,none,0,0,0,35,28.5
2425,14,6,16,0,N,none,0,0,0,37,27.0
2426,12,5,16,0,N,none,0,0,0,34,29.8
2427,14,5,16,0,N,none,0,0,0,35,28.7
2428,14,5,17,0,N,none,0,0,0,37,27.3
2429,17,5,17,0,N,none,0,0,0,39,25.8
2430,11,5,16,0,N,none,0,0,0,32,31.2
2431,13,5,16,0,N,none,0,0,0,34,29.2
2432,14,5,17,0,N,none,0,0,0,36,27.7
2433,14,5,16,0,N,none,0,0,0,35,28.3
2434,12,5,16,0,N,none,0,0,0,32,30.8
